1,121,1678,1
1,124,1666,1
1,129,1653,2
1,130,1638,2
1,136,1624,2
1,144,1609,2
1,146,1592,2
1,148,1571,3
1,149,1552,4
1,153,1531,4
1,152,1512,4
1,146,1492,4
1,146,1476,4
1,144,1458,5
1,141,1443,5
1,140,1426,5
1,140,1412,6
1,140,1399,6
1,137,1387,6
1,140,1374,6
1,139,1363,6
1,140,1352,6
1,143,1340,6
1,144,1325,6
1,145,1314,6
1,147,1301,6
1,150,1290,6
1,152,1279,6
1,159,1269,6
1,167,1255,6
1,174,1242,6
1,180,1224,6
1,181,1207,6
1,185,1197,5
1,189,1190,5
1,192,1183,5
1,195,1176,5
1,198,1169,5
1,203,1161,5
1,206,1154,5
1,210,1145,5
1,215,1135,5
1,219,1125,5
1,220,1115,4
1,222,1106,4
1,223,1099,4
1,225,1092,3
1,228,1087,2
1,231,1081,2
1,236,1075,1
1,240,1068,1
1,240,1059,1
